"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"187",-85.20469388,-95.1255102,-92.25367347,-84.92,-94.19,-89.60061224,-98.85734694,-97.58530612,-89.79959184,-100.5371429,-91.9214966,-103.0823583,-103.3805215,-94.0431746,-102.8455782,-95.13979592,-104.0463265,-106.894898,-98.19632653,-104.1173469,-95.90918367,-102.4769388,-106.5342857,-98.48285714,-106.7279592,-99.43938776,-109.0383673,-110.5228571,-102.4730612,-110.5520862,-101.1920899,-101.5404233,NA,NA,-113.3820862,-102.7607143,NA,NA,NA,-112.5153061
"188",-102.5181633,-101.4789796,-100.9183673,-99.67857143,-103.3438776,-102.5491837,-101.7367347,-101.1106122,-99.98979592,-103.4597959,-102.7938776,-101.8477551,-101.1302041,-100.2763265,-103.5385714,-104.3818367,-103.5626531,-102.5479592,-100.9459184,-104.8338776,-104.203356,-103.1470522,-102.5707937,-101.2407256,-104.8187302,-103.535,-101.4114286,-101.4457143,-100.915,-103.9157143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189",-101.6054082,-106.2777551,-111.6463265,-104.0429592,-107.5390816,-102.5073469,-107.4942857,-113.4155102,-105.8271429,-109.0289796,-103.4636735,-108.4781633,-114.2797959,-106.7491837,-110.2018367,-104.1040816,-109.7026531,-114.2257143,-107.68,-110.8555102,-105.0504082,-110.8336735,-115.3783673,-108.6210204,-112.4538776,-104.6469388,-108.9667347,-112.4487755,-106.9857143,-110.1255102,-106.1571429,-111.8814286,-116.415,-108.8492857,-113.1314286,NA,NA,NA,NA,NA
"190",-87.805,-88.17285714,-81.07234694,-94.56244898,-99.79734694,-88.33897959,-88.77979592,-81.69183673,-95.07979592,-100.97,-89.32265306,-89.72020408,-82.37387755,-95.78857143,-102.1842857,-89.81884972,-90.34335807,-83.3419666,-96.25445269,-102.540334,-90.61795918,-91.14204082,-83.99469388,-97.16714286,-103.3946939,-90.94295918,-91.59387755,-84.53867347,-97.63387755,-103.6842857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191",-101.4079592,-101.8279592,-84.1677551,-103.3644898,-103.9932653,-102.5979592,-102.8983673,-84.6344898,-105.8371429,-106.172449,-102.5514286,-103.2197959,-85.2877551,-105.5567347,-105.9487755,-103.0265306,-103.5565306,-84.80591837,-104.7618367,-105.6685714,-99.319161,-100.6219728,-82.6538322,-96.97575964,-100.8613379,-99.9744898,-101.3002041,-82.84469388,-102.6046939,-102.3942857,-101.9194286,-104.6305357,-84.5852381,-107.0734524,-107.0806122,NA,NA,NA,NA,NA
"192",-92.71346939,-94.79714286,-91.90204082,-95.76836735,-92.18489796,-92.68605442,-98.16265306,-95.05505669,-99.80249433,-97.09099773,-87.36723356,-88.3778458,-83.87986395,-85.95843537,-87.2385941,-88.86795918,-95.64877551,-89.13469388,-94.85693878,-89.58306122,-93.74816327,-102.8542857,-98.67081633,-100.9657143,-99.69938776,-96.88918367,-105.177551,-103.0104082,-109.2153061,-103.3644898,-99.26309524,-107.344949,-104.8975,-110.1134286,-104.3398942,NA,NA,NA,NA,NA
"193",-97.70938776,-101.2269161,-99.19183673,-108.4849433,-102.5631746,-99.86344671,-103.7363265,-102.6322222,-112.9616327,-106.0887755,-102.7997959,-102.455102,-106.0634694,-110.2508163,-103.9018367,-101.1628571,-106.1416327,-104.7010204,-113.8106122,-109.1202041,-104.9708163,-108.2013605,-108.9618367,-115.8449206,-111.6864853,-108.2520862,-108.2108163,-110.8512018,-115.4169388,-111.4236735,-110.0752381,-103.9676385,-110.8111565,-108.0136054,-105.5189796,NA,NA,-110.4952381,NA,NA
"194",-92.5555102,-105.61,-106.6679592,-98.89285714,-103.4726531,-92.10877551,-104.0504082,-105.7077551,-98.57938776,-103.0181633,-90.68285714,-99.71705215,-104.3538776,-96.60061224,-100.9463265,-87.23047619,-105.7718367,-100.0889796,-93.3007483,-98.88492063,-92.5144898,-106.1019643,-109.1953061,-98.0355102,-103.2620408,-92.74269841,NA,-106.5714286,-97.28027211,-102.4531746,-95.09485714,NA,-108.5625397,-98.51650794,-104.0430714,NA,NA,NA,NA,NA
"195",-100.2259184,-97.67367347,-97.17632653,-100.9573469,-89.29408163,-103.2469388,-99.37326531,-100.4255102,-103.925102,-90.74571429,-103.7632653,-101.6406122,-101.9028571,-104.8322449,-92.43795918,-101.1014286,-101.7732653,-102.0502041,-102.8657143,-93.39346939,-107.5463265,-106.1702041,-106.8769388,-108.0789796,-96.74204082,-107.3058277,-107.2379365,-107.8138776,-108.5200907,-97.99072562,-108.7359524,-108.4561905,-108.4816667,-110.0778571,-98.93333333,NA,NA,NA,NA,NA
"196",-101.360102,-110.7261224,-105.7191837,-99.43683673,-103.9056122,-102.9769388,-112.7977551,-106.3132653,-101.0038776,-104.5077551,-104.0542857,-113.8812245,-106.9359184,-102.5271429,-105.1310204,-103.3091837,-111.5304082,-105.8389796,-102.347551,-103.8542857,-104.5944898,-112.5610204,-105.4942857,-103.9591837,-104.1697959,-104.4957143,-113.1260714,-105.75,-104.1339286,-104.1192857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197",-93.36346939,-91.61557823,-87.64693878,-94.14292517,-86.29612245,-90.52857143,-90.40718821,-86.10755102,-90.87734694,-85.06857143,-97.77836735,-98.9544898,-90.84020408,-100.2083673,-87.23612245,-103.4269615,-103.3643764,-94.818322,-102.4125397,-89.47356009,-106.8163265,-107.8026531,-97.93693878,-108.5904082,-91.87938776,-100.5285714,-103.0310204,-97.22816327,-104.5506122,-91.93122449,-110.2261905,-110.0709524,-100.0114286,-108.612381,-94.34142857,NA,NA,NA,NA,NA
"198",-109.5003061,-103.8633673,-113.6308163,-102.8604082,-105.1238776,-111.3340816,-105.5620408,-116.1920317,-105.6926531,-108.025102,-111.4273469,-105.8493878,NA,-105.7093878,-107.0604082,-109.5920408,-105.6016327,NA,-105.1863265,-107.2183673,-112.0240816,-107.2346939,NA,-106.7208163,-109.9471429,-110.1765306,-105.5332653,NA,-105.9879592,-105.9867347,-107.5771429,-102.92,NA,-103.3771429,-99.44571429,NA,NA,NA,NA,NA
"199",-88.40265306,-93.46285714,-97.66367347,-98.36040816,-102.9610204,-85.57630385,-86.29648526,-94.88993197,-95.05897959,-95.79387755,-87.48632653,-89.98755102,-96.58938776,-96.30040816,-102.5712245,-86.54816327,-92.72265306,-97.10510204,-98.05530612,-105.6573469,-86.19122449,-92.1577551,-96.42469388,-98.46428571,-106.9202041,-85.48408163,-91.50795918,-95.90081633,-98.86530612,-105.9632653,-85.82035714,-93.04642857,-96.62178571,-100.0585714,-107.3903571,NA,NA,NA,NA,NA
"200",-96.54367347,-102.0316327,-99.34306122,-96.81367347,-95.22102041,-98.1784127,-101.014059,-95.63174603,-95.82548753,-96.61247166,-91.91285714,-94.69795918,-89.8722449,-91.19306122,-90.80387755,-91.3355102,-93.020839,-89.95204082,-91.44800454,-89.88079365,-99.35673469,-102.5006122,-101.4104082,-95.26653061,-99.14877551,-101.4624036,-105.4660544,-104.8087755,-97.73043084,-102.1165306,-104.1660159,-109.1417143,-108.2866667,-99.34047619,-105.8582734,NA,NA,NA,NA,NA
"201",-100.2334694,-91.50928571,-91.68267574,-90.57326531,-87.46342404,-99.39945578,-91.0369161,-94.18591837,-90.21156463,-89.99938776,-104.9028571,-94.16816327,-95.16278912,-93.42714286,-91.03514739,-104.5061224,-94.54356009,-95.25836735,-93.57321995,-91.54836735,-106.1212245,-95.20612245,-94.87979592,-93.87734694,-91.20612245,-104.9369388,-95.12204082,-96.87734694,-93.70387755,-92.23734694,-106.1346939,-95.86341837,-98.01417989,-95.7594898,-92.29983479,NA,-89.07142857,NA,-96.27857143,NA
"202",-104.6567347,-101.7989796,-104.2965306,-95.17061224,-97.49244898,-101.0057143,-102.0965306,-104.2089796,-94.64979592,-98.16877551,-102.9806122,-101.5626531,-101.7871429,-95.21734694,-96.21795918,-99.68049887,-98.75340136,-97.24004535,-91.83331066,-93.83253968,-100.6536735,-99.23163265,-100.7959184,-89.98183673,-96.26938776,-108.5381633,-101.8116327,-104.0108163,-95.18959184,-97.42469388,-107.7580952,-100.0890476,-104.2649206,-95.15,-97.07285714,NA,NA,NA,NA,NA
"203",-98.46040816,-98.73183673,-91.31612245,-105.5238776,-99.55591837,-99.29265306,-100.0797959,-92.09571429,-105.534898,-100.5420408,-97.11918367,-96.15142857,-91.85326531,-102.3740816,-97.65306122,-96.12102041,-94.11734694,-91.25142857,-100.0267347,-94.41857143,-99.16591837,-97.8522449,-92.39571429,-104.1810204,-98.12979592,-100.5832653,-99.7422449,-92.99571429,-104.5512245,-100.1371429,-100.0409524,-99.28142857,-93.09142857,-105.8666667,-100.0747619,NA,NA,NA,NA,NA
"204",-108.7257143,-97.07959184,-97.75836735,-95.09367347,-101.5328571,-106.1640816,-96.17877551,-96.64489796,-99.15163265,NA,-88.79995465,-87.43521542,-88.26732426,-85.68414966,NA,-95.12102041,-87.99510204,-92.57938776,-91.04244898,NA,-102.0110204,-95.75653061,-95.30244898,-97.64122449,NA,-103.3377324,-97.47968254,-95.91968254,-97.36904762,NA,-110.3592857,-99.05412698,-97.25071429,-99.46220408,NA,NA,NA,NA,NA,NA
"205",-102.367551,-101.7722449,-108.1177551,-101.927619,-103.2091837,-102.2681633,-96.05530612,-101.1087755,-99.99408163,-100.6481633,-89.98428571,-88.3455102,-89.98530612,-91.74408163,-89.84428571,-93.73217687,-92.53002268,-91.24712018,-92.54238095,-93.91539683,-102.4885714,-99.57959184,-101.3761224,-99.93061224,-98.48081633,-103.6604535,-101.5859184,-101.1969841,-100.2231066,-97.20877551,-108.0161905,-104.2457143,-110.4331746,-107.3760204,-103.2475,NA,NA,NA,NA,NA
"206",-92.87571429,-94.06061224,-101.8140816,-102.7571429,-106.8212245,-89.79959184,-89.40755102,-97.88918367,-97.69102041,-101.5893878,-88.07346939,-86.77795918,-93.49040816,-89.38285714,-91.78530612,-87.75156463,-85.68645503,-92.90020408,-89.6515873,-92.44913832,-91.80061224,NA,-100.6191837,-97.80857143,-100.1430612,-94.39630385,NA,-102.1482766,-99.46922902,-101.0540816,-95.3367619,NA,-106.5259048,-102.3173469,-104.8308163,NA,NA,NA,NA,-106.0809524
"207",-99.97163265,-101.7216327,-101.4387755,-102.3665306,-94.38571429,-99.66405896,-103.5593424,-102.0846259,-104.3453288,-97.63777778,-94.17469388,-97.24183673,-91.72265306,-94.67306122,-90.73061224,-95.09755102,-98.2655102,-96.12367347,-94.75816327,-92.75857143,-100.5557143,-104.9497959,-103.2695918,-102.1059184,-97.6277551,-103.6734694,-107.4310204,-107.1157143,-105.422449,-98.96408163,-105.8905714,-109.2767857,-108.8081633,-107.4164286,-100.7425714,NA,NA,NA,NA,NA
