"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"69",3120,3120,3000,NA,3120,3360,3360,3360,NA,3360,3360,3360,3360,NA,3360,3360,3360,3360,NA,3360,3360,3360,3360,NA,3360,3360,3360,3360,NA,3360,720,720,720,NA,720,NA,NA,NA,NA,NA
"70",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,1500,3360,3360,3360,3120,NA,3120,2821,2760,NA,NA,NA,NA,NA
"71",3360,NA,3360,3360,3360,3360,NA,3360,3360,3360,3360,NA,3360,3360,3360,3360,NA,3360,3360,3360,3360,NA,3360,3360,3360,3183,NA,3300,3360,3360,60,NA,60,1080,60,NA,NA,NA,NA,NA
"72",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3300,3060,2940,3120,2940,120,120,60,180,240
"73",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,2100,2940,2400,1560,2520,NA,NA,NA,NA,NA
"74",3120,NA,3120,3120,3120,3360,NA,3360,3360,3360,3360,NA,3360,3360,3360,3360,NA,3360,3360,3360,3360,NA,3360,3360,3360,3360,NA,3360,3360,3360,3120,NA,1140,2400,1500,NA,NA,NA,NA,NA
"75",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,240,240,240,240,240,NA,NA,NA,NA,NA
"76",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3296,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,720,2640,720,2640,720,NA,NA,NA,NA,NA
"77",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3296,3360,240,240,240,240,180,NA,NA,NA,NA,NA
"78",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3120,1916,1980,2340,1680,120,NA,NA,NA,NA
"79",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,720,720,720,720,720,NA,NA,NA,NA,NA
"80",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,2040,2340,3120,2940,2940,NA,NA,NA,NA,NA,NA
"81",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3120,2940,3064,3120,3120,NA,NA,NA,NA,NA
"82",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,240,240,240,240,240,NA,NA,NA,NA,NA
"83",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3356,3360,3360,3360,3360,3360,240,240,240,240,240,NA,NA,NA,NA,NA
"84",3120,3120,NA,3120,3120,3360,3360,NA,3360,3360,3360,3360,NA,3360,3360,3360,3360,NA,3360,3360,3360,3360,NA,3360,3360,3360,3360,NA,3360,3360,240,240,NA,240,240,NA,NA,NA,NA,NA
"85",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3296,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,240,240,240,240,240,NA,NA,NA,NA,NA
"86",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,1200,3360,3360,3360,3360,NA,3360,3360,3360,3360,NA,3360,3360,3120,3360,NA,3120,3120,NA,240,NA,NA,NA,NA,NA,NA,NA,NA
